Bo_Age,Ln_Orig,Orig_LTV_Ratio_Pct,Credit_score,First_home,Tot_mthly_debt_exp,Tot_mthly_incm,orig_apprd_val_amt,pur_prc_amt,DTI Ratio,Status,OUTCOME,State,Median_state_inc,UPB>Appraisal,LoanValuetoAppraised,loanToPurchPrice
34,65000,100,634,N,3279,7500,152000,150000,0.4372,Default,default,GA,43217,0,0.427631579,0.433333333
22,71900,100,688,N,2714,7000,305000,273500,0.387714,Active,non-default,TN,38550,0,0.235737705,0.262888483
27,82500,100,682,N,3135,8350,385000,385000,0.375449,Pay-off,non-default,NJ,56772,0,0.214285714,0.214285714
26,245800,98,627,N,0,5025,137900,137900,0,Pay-off,non-default,FL,40171,1,1.782451051,1.782451051
48,62220,95,782,N,1622,4944,160000,158365,0.328074,Default,default,NC,39000,0,0.388875,0.392889843
33,201650,80,684,Y,1538,5025,100000,99000,0.306089,Pay-off,non-default,HI,53123,1,2.0165,2.036868687
37,230000,100,764,N,1486,3688,136000,136000,0.402928,Active,non-default,AZ,42590,1,1.691176471,1.691176471
30,198550,95,703,N,635,2750,84500,84500,0.230909,Active,non-default,TX,41275,1,2.349704142,2.349704142
24,218922,100,808,N,617,2681,50000,50000,0.230138,Active,non-default,PA,44286,1,4.37844,4.37844
31,247800,97,805,N,1832,3962,143500,135500,0.462393,Active,non-default,TX,41275,1,1.726829268,1.828782288
36,275000,100,620,N,1276,1907,98000,94000,0.669114,Default,default,KS,43725,1,2.806122449,2.925531915
41,152000,95,702,N,2215,5025,298000,298000,0.440824,Pay-off,non-default,PA,44286,0,0.510067114,0.510067114
37,179000,100,583,Y,1410,2870,116500,97000,0.491289,Default,default,TX,41275,1,1.536480687,1.845360825
33,126773,102,767,Y,1877,4712,151000,147700,0.398345,Default,default,KS,43725,0,0.839556291,0.85831415
48,112500,90,659,N,1641,4636,152000,152000,0.353969,Default,default,PA,44286,0,0.740131579,0.740131579
31,197139,95,662,Y,1863,3948,166000,161450,0.471884,Active,non-default,TX,41275,1,1.187584337,1.221052958
36,62400,80,674,N,1105,5000,140000,137400,0.221,Default,default,OH,44160,0,0.445714286,0.454148472
24,34650,74,733,N,1985,5931,135000,135000,0.334682,Pay-off,non-default,IA,43042,0,0.256666667,0.256666667
25,208950,95,689,Y,823,5025,70000,69900,0.163791,Pay-off,non-default,FL,40171,1,2.985,2.989270386
51,154950,100,617,Y,1593,3416,121000,120800,0.466335,Default,default,FL,40171,1,1.280578512,1.282698675
36,238800,93,685,N,378,3200,67000,45000,0.118125,Default,default,MI,44476,1,3.564179104,5.306666667
50,78000,67,683,N,892,4400,80000,78000,0.202727,Pay-off,non-default,TX,41275,0,0.975,1
37,106900,100,712,Y,2830,5488,268000,262000,0.515671,Active,non-default,MD,56763,0,0.398880597,0.408015267
47,101150,91,603,N,2308,6290,142000,141375,0.366932,Default,default,IN,43003,0,0.712323944,0.715473033
37,187850,81,618,N,624,1387,91000,78200,0.449892,Default,default,SC,39326,1,2.064285714,2.402173913
37,135000,60,580,N,0,3120,84000,83500,0,Active,non-default,TX,41275,1,1.607142857,1.616766467
44,118208,100,675,N,1393,5600,162000,149900,0.24875,Default,default,MI,44476,0,0.729679012,0.788579053
25,150000,90,692,Y,1857,5141,170000,168133,0.361214,Default,default,GA,43217,0,0.882352941,0.892150857
48,264000,80,675,N,1820,5025,229000,222500,0.362212,Default,default,MA,52354,1,1.152838428,1.186516854
36,148000,80,771,N,1798,2661,164000,160627,0.675686,Pay-off,non-default,FL,40171,0,0.902439024,0.921389306
51,166500,90,523,Y,834,2080,118900,115000,0.400962,Default,default,NC,39000,1,1.400336417,1.447826087
37,65000,50,672,N,1650,8516,226000,65000,0.193753,Default,default,TX,41275,0,0.287610619,1
51,166500,90,523,Y,834,2080,118900,115000,0.400962,Default,default,NC,39000,1,1.400336417,1.447826087
21,53200,95,774,N,2099,8275,159000,158000,0.253656,Active,non-default,WI,47220,0,0.334591195,0.336708861
46,29900,100,562,N,2854,7830,185000,185000,0.364496,Default,default,IN,43003,0,0.161621622,0.161621622
32,253000,99,662,Y,870,3517,118000,118000,0.24737,Default,default,NC,39000,1,2.144067797,2.144067797
42,112000,80,613,Y,1528,2698,120000,119000,0.566345,Active,non-default,TX,41275,0,0.933333333,0.941176471
47,275000,100,750,N,1540,1934,91000,91000,0.796277,Pay-off,non-default,VA,53275,1,3.021978022,3.021978022
44,310175,95,660,N,0,5025,674500,674500,0,Default,default,NY,44228,0,0.459859155,0.459859155
32,139650,95,731,Y,1011,1475,109500,109500,0.685424,Active,non-default,FL,40171,1,1.275342466,1.275342466
19,104000,100,680,N,1215,7800,145000,139900,0.155769,Default,default,UT,50614,0,0.717241379,0.743388134
27,62750,97,663,N,2067,5500,211000,211000,0.375818,Default,default,NJ,56772,0,0.297393365,0.297393365
35,141015,85,642,Y,1513,3750,132000,132000,0.403467,Default,default,FL,40171,1,1.068295455,1.068295455
42,94000,100,786,N,1445,6918,98000,89750,0.208875,Active,non-default,TX,41275,0,0.959183673,1.04735376
53,152150,97,721,N,2163,4062,193000,190883,0.532496,Active,non-default,GA,43217,0,0.788341969,0.797085125
30,248000,80,755,N,1268,3200,68000,68000,0.39625,Default,default,OH,44160,1,3.647058824,3.647058824
37,147000,100,763,N,2534,4160,132000,127050,0.609135,Active,non-default,SC,39326,1,1.113636364,1.157024793
75,79200,80,687,N,1017,5213,124000,122036,0.195089,Pay-off,non-default,AZ,42590,0,0.638709677,0.648988823
23,310700,98,670,N,2545,5025,390000,390000,0.5065,Default,default,NY,44228,0,0.796666667,0.796666667
37,104000,100,663,N,965,4200,180427,104000,0.229762,Default,default,PA,44286,0,0.576410404,1
37,86400,80,599,Y,1886,5000,177000,176200,0.3772,Default,default,GA,43217,0,0.488135593,0.490351873
33,261250,95,744,Y,622,1733,53000,53000,0.358915,Active,non-default,VA,53275,1,4.929245283,4.929245283
30,142400,95,643,N,643,4040,94000,90000,0.159158,Active,non-default,MS,33659,1,1.514893617,1.582222222
43,234300,90,694,N,694,3120,93000,92900,0.222436,Default,default,FL,40171,1,2.519354839,2.522066738
27,225400,98,644,N,0,5025,140000,139070,0,Active,non-default,MI,44476,1,1.61,1.62076652
39,176400,90,731,N,1855,5021,155000,155000,0.369448,Active,non-default,TX,41275,1,1.138064516,1.138064516
37,154850,95,543,N,2265,3717,225000,203000,0.609362,Default,default,TX,41275,0,0.688222222,0.762807882
27,309100,93,703,N,779,2571,102000,102000,0.302995,Pay-off,non-default,OR,42617,1,3.030392157,3.030392157
28,315000,90,692,N,0,5025,270000,270000,0,Default,default,NY,44228,1,1.166666667,1.166666667
37,120900,100,578,N,3784,6674,200000,198000,0.566976,Default,default,SC,39326,0,0.6045,0.610606061
45,149000,100,763,N,1249,3798,123500,122900,0.328857,Active,non-default,NC,39000,1,1.206477733,1.212367779
36,237400,95,771,Y,951,3509,93000,90979,0.271017,Active,non-default,GA,43217,1,2.552688172,2.609393376
43,148198,92,660,N,0,5025,525000,525000,0,Default,default,CA,49894,0,0.282281905,0.282281905
29,264195,95,614,N,1575,2600,144000,143000,0.605769,Pay-off,non-default,OH,44160,1,1.8346875,1.847517483
33,295800,95,756,N,2620,5025,290000,290000,0.521426,Default,default,NY,44228,1,1.02,1.02
58,410400,90,714,N,2274,10055,220000,220000,0.226156,Pay-off,non-default,PA,44286,1,1.865454545,1.865454545
37,84000,69,518,Y,3066,7397,276000,276000,0.414492,Pay-off,non-default,VA,53275,0,0.304347826,0.304347826
37,274500,90,675,N,0,5025,340000,340000,0,Pay-off,non-default,CA,49894,0,0.807352941,0.807352941
26,74100,95,700,N,2093,7500,280000,280000,0.279067,Pay-off,non-default,CA,49894,0,0.264642857,0.264642857
32,123000,100,661,N,3130,5787,241000,240108,0.540867,Active,non-default,SC,39326,0,0.510373444,0.512269479
44,233000,100,713,N,948,5025,113000,113000,0.188669,Default,default,AZ,42590,1,2.061946903,2.061946903
50,87400,95,601,Y,1340,3579,63000,63000,0.374406,Active,non-default,TX,41275,1,1.387301587,1.387301587
27,136800,100,762,Y,1017,2667,80000,80000,0.381327,Pay-off,non-default,NY,44228,1,1.71,1.71
49,93050,100,692,N,1013,7100,120000,111000,0.142676,Default,default,WI,47220,0,0.775416667,0.838288288
37,261250,95,697,N,1369,3097,84500,83500,0.442041,Default,default,IN,43003,1,3.091715976,3.128742515
29,278000,100,728,Y,1054,4440,62000,61000,0.237387,Active,non-default,MN,55914,1,4.483870968,4.557377049
37,53600,80,588,Y,1181,3148,90000,89900,0.375159,Default,default,TN,38550,0,0.595555556,0.59621802
37,197742,91,721,N,620,2375,96500,95000,0.261053,Active,non-default,LA,35523,1,2.049139896,2.081494737
37,100700,95,594,N,1785,3717,206000,206000,0.480226,Active,non-default,NC,39000,0,0.488834951,0.488834951
32,280250,95,736,N,2233,13750,345000,345000,0.1624,Default,default,NY,44228,0,0.812318841,0.812318841
29,127500,100,643,N,1507,3667,154000,152546,0.410963,Active,non-default,GA,43217,0,0.827922078,0.83581346
31,135630,100,703,N,1886,5000,150000,146500,0.3772,Active,non-default,IL,45787,0,0.9042,0.925802048
31,116300,97,666,N,1137,3500,95000,95000,0.324857,Default,default,MI,44476,1,1.224210526,1.224210526
41,190000,90,663,N,1893,5025,250000,250000,0.37674,Default,default,MD,56763,0,0.76,0.76
35,86500,100,608,Y,2110,6375,174000,172000,0.33098,Pay-off,non-default,MI,44476,0,0.497126437,0.502906977
36,162400,80,635,N,2028,4160,125000,120000,0.4875,Active,non-default,PA,44286,1,1.2992,1.353333333
26,106700,97,602,N,1670,3356,156900,156900,0.497616,Active,non-default,MD,56763,0,0.680050988,0.680050988
25,110320,99,747,N,1742,4630,182900,182900,0.376242,Pay-off,non-default,OR,42617,0,0.603171132,0.603171132
30,131000,100,700,N,1520,3442,113000,110000,0.441604,Default,default,MI,44476,1,1.159292035,1.190909091
37,284050,95,574,Y,540,1047,68000,68000,0.515759,Pay-off,non-default,AL,38111,1,4.177205882,4.177205882
44,156000,100,758,Y,1231,2000,104000,105000,0.6155,Default,default,VA,53275,1,1.5,1.485714286
52,145260,90,673,N,794,5025,115000,115000,0.15802,Default,default,TX,41275,1,1.263130435,1.263130435
37,89900,100,677,N,2983,5748,217000,216719,0.518963,Active,non-default,AZ,42590,0,0.414285714,0.414822881
41,53200,95,752,Y,2565,5500,230000,227422,0.466364,Active,non-default,FL,40171,0,0.231304348,0.233926357
28,143725,100,768,Y,1460,5845,127000,123925,0.249786,Active,non-default,TX,41275,1,1.131692913,1.159774057
29,130000,100,633,N,2641,4774,155000,155000,0.553205,Default,default,MI,44476,0,0.838709677,0.838709677
37,80750,85,682,Y,2195,5752,245000,245000,0.381606,Pay-off,non-default,CA,49894,0,0.329591837,0.329591837
27,266600,95,678,N,1969,2500,95000,87501,0.7876,Default,default,AL,38111,1,2.806315789,3.046822322
37,133878,102,558,Y,2010,2774,133000,133000,0.724585,Default,default,TX,41275,1,1.006601504,1.006601504
37,400000,80,738,Y,974,2513,108000,102700,0.387585,Default,default,WI,47220,1,3.703703704,3.894839338
30,296000,80,689,N,3201,15000,390000,387400,0.2134,Pay-off,non-default,WA,48688,0,0.758974359,0.764068147
37,153000,93,535,N,2148,3883,124000,120150,0.553181,Pay-off,non-default,GA,43217,1,1.233870968,1.27340824
34,143500,100,665,N,3385,5417,183000,168701,0.624885,Default,default,TX,41275,0,0.784153005,0.850617364
50,116252,90,621,N,1716,4831,161075,159000,0.355206,Pay-off,non-default,MS,33659,0,0.721725904,0.731144654
37,195000,100,660,N,616,2530,83000,73700,0.243478,Default,default,NC,39000,1,2.34939759,2.645861601
25,150000,90,692,Y,1857,5141,170000,168133,0.361214,Default,default,GA,43217,0,0.882352941,0.892150857
38,210000,87,719,N,1043,3732,138000,133970,0.279475,Pay-off,non-default,MD,56763,1,1.52173913,1.567515115
37,126350,95,669,N,965,4633,124500,121000,0.208288,Default,default,OH,44160,1,1.014859438,1.044214876
37,182900,100,650,N,1174,3455,74000,70000,0.339797,Default,default,IN,43003,1,2.471621622,2.612857143
33,80550,90,656,N,1315,4402,96000,96000,0.298728,Default,default,IN,43003,0,0.8390625,0.8390625
39,135065,100,605,Y,598,4189,95000,95000,0.142755,Default,default,TX,41275,1,1.421736842,1.421736842
37,119150,80,572,N,704,1083,50000,50000,0.650046,Default,default,TN,38550,1,2.383,2.383
29,140950,97,733,N,729,2712,62000,60800,0.268805,Active,non-default,KY,37396,1,2.273387097,2.318256579
30,33950,97,620,N,3829,8349,310000,305000,0.458618,Default,default,AZ,42590,0,0.109516129,0.111311475
37,175000,100,729,Y,1952,5307,123000,123000,0.367816,Active,non-default,PA,44286,1,1.422764228,1.422764228
34,131200,100,687,N,1415,7831,187000,186651,0.180692,Pay-off,non-default,MN,55914,0,0.701604278,0.702916138
31,193900,97,782,N,1078,4750,90000,90000,0.226947,Pay-off,non-default,MS,33659,1,2.154444444,2.154444444
21,81900,90,750,N,2707,7537,178000,177747,0.359161,Pay-off,non-default,NV,46984,0,0.46011236,0.46076727
32,352000,80,570,N,2158,13706,210000,210000,0.157449,Default,default,IL,45787,1,1.676190476,1.676190476
37,144000,80,734,Y,2213,3795,151000,149800,0.583136,Active,non-default,FL,40171,0,0.953642384,0.961281709
20,100000,66,667,Y,2706,5025,295000,295000,0.538541,Default,default,NY,44228,0,0.338983051,0.338983051
31,241600,80,644,Y,500,1709,53000,53000,0.292569,Active,non-default,TN,38550,1,4.558490566,4.558490566
36,147000,100,660,Y,771,2253,102000,94000,0.34221,Default,default,AZ,42590,1,1.441176471,1.563829787
32,109150,95,792,N,1774,5806,219000,218000,0.305546,Active,non-default,IL,45787,0,0.498401826,0.500688073
37,95000,95,742,N,1874,2887,128000,118000,0.649117,Default,default,TX,41275,0,0.7421875,0.805084746
50,190000,95,681,N,1549,10500,270000,190000,0.147524,Pay-off,non-default,MI,44476,0,0.703703704,1
30,101200,98,689,N,1131,4105,82500,78000,0.275518,Default,default,IN,43003,1,1.226666667,1.297435897
30,154000,100,741,N,1276,4650,140000,139050,0.274409,Default,default,PA,44286,1,1.1,1.107515282
30,60900,97,673,N,1320,15000,145000,145000,0.088,Default,default,VA,53275,0,0.42,0.42
37,258400,95,680,Y,0,5025,170000,166296,0,Pay-off,non-default,NJ,56772,1,1.52,1.553855775
45,88900,100,578,N,1654,3293,180400,180400,0.502278,Default,default,VA,53275,0,0.492793792,0.492793792
46,186000,100,704,N,1086,4200,135000,135000,0.258571,Default,default,IN,43003,1,1.377777778,1.377777778
27,182350,100,680,N,624,3113,80000,75000,0.20045,Default,default,KY,37396,1,2.279375,2.431333333
45,301500,90,608,N,684,2760,86000,85000,0.247826,Default,default,MO,43988,1,3.505813953,3.547058824
37,160000,80,602,Y,1120,2322,100000,99400,0.482343,Default,default,FL,40171,1,1.6,1.609657948
45,130000,100,645,N,2584,5912,182000,180000,0.437077,Pay-off,non-default,IL,45787,0,0.714285714,0.722222222
39,249000,94,682,N,3087,5025,299900,299900,0.614367,Pay-off,non-default,NH,57352,0,0.830276759,0.830276759
50,167000,90,684,N,2952,5367,189500,147000,0.550028,Active,non-default,FL,40171,0,0.881266491,1.136054422
38,54000,90,710,N,1180,4966,187524,54000,0.237616,Default,default,WI,47220,0,0.287963141,1
50,290000,72,702,N,17225,5025,140000,140000,3.428077,Default,default,NJ,56772,1,2.071428571,2.071428571
35,322400,80,669,N,0,5025,164000,163140,0,Pay-off,non-default,TX,41275,1,1.965853659,1.976216746
55,55000,100,659,Y,2375,6917,182000,182000,0.343357,Pay-off,non-default,DC,43003,0,0.302197802,0.302197802
58,173000,77,788,N,1742,5362,187000,187000,0.324879,Active,non-default,GA,43217,0,0.92513369,0.92513369
40,283400,90,534,Y,1084,2687,137000,133590,0.403424,Default,default,GA,43217,1,2.068613139,2.121416274
30,101200,100,608,N,1598,4568,184000,183801,0.349825,Active,non-default,NV,46984,0,0.55,0.550595481
28,90200,97,742,N,1563,6243,175000,175000,0.25036,Pay-off,non-default,MD,56763,0,0.515428571,0.515428571
28,86400,80,728,N,0,4300,160000,160000,0,Default,default,IL,45787,0,0.54,0.54
30,233800,90,644,Y,1708,2677,124400,124400,0.638028,Active,non-default,GA,43217,1,1.879421222,1.879421222
37,232750,95,670,N,814,2950,120000,120000,0.275932,Default,default,PA,44286,1,1.939583333,1.939583333
31,116300,97,666,N,1137,3500,95000,95000,0.324857,Default,default,MI,44476,1,1.224210526,1.224210526
37,322700,92,663,N,0,5025,33000,33000,0,Default,default,OH,44160,1,9.778787879,9.778787879
37,165000,100,613,Y,987,2662,81000,81000,0.370774,Default,default,MI,44476,1,2.037037037,2.037037037
37,111900,80,728,Y,1117,3473,112000,110500,0.321624,Default,default,GA,43217,0,0.999107143,1.012669683
31,114400,100,505,N,1535,4271,170000,166250,0.359401,Active,non-default,GA,43217,0,0.672941176,0.688120301
39,199000,100,523,Y,678,2107,72000,71900,0.321785,Default,default,VA,53275,1,2.763888889,2.767732962
31,95410,102,676,N,1770,5004,130000,124900,0.353717,Active,non-default,NC,39000,0,0.733923077,0.763891113
40,132000,100,578,Y,2184,3437,221400,221400,0.635438,Active,non-default,SC,39326,0,0.596205962,0.596205962
37,86000,100,691,N,1539,6300,280000,277000,0.244286,Default,default,CA,49894,0,0.307142857,0.310469314
24,268654,100,643,N,1086,3072,103000,101158,0.353516,Pay-off,non-default,AL,38111,1,2.608291262,2.655785998
72,89400,80,688,N,7644,8447,290000,287000,0.904937,Pay-off,non-default,CA,49894,0,0.308275862,0.311498258
31,311000,89,701,N,632,5025,75000,75000,0.125779,Active,non-default,CA,49894,1,4.146666667,4.146666667
41,88000,80,685,N,2172,6462,250000,250000,0.336119,Default,default,NJ,56772,0,0.352,0.352
36,275000,100,620,N,1276,1907,98000,94000,0.669114,Default,default,KS,43725,1,2.806122449,2.925531915
30,90000,100,721,N,1833,7813,235000,235000,0.234609,Default,default,GA,43217,0,0.382978723,0.382978723
52,148700,95,706,N,2131,10416,228000,227500,0.204589,Active,non-default,GA,43217,0,0.652192982,0.653626374
29,116800,80,691,N,2787,4833,179000,178900,0.57666,Pay-off,non-default,NV,46984,0,0.652513966,0.652878703
30,237500,100,675,N,1872,4282,290000,289788,0.437179,Pay-off,non-default,AZ,42590,0,0.818965517,0.819564647
37,126350,95,669,N,965,4633,124500,121000,0.208288,Default,default,OH,44160,1,1.014859438,1.044214876
25,47500,100,671,Y,0,7500,164000,161000,0,Default,default,NC,39000,0,0.289634146,0.295031056
26,87400,95,773,N,1440,3791,83000,72000,0.379847,Pay-off,non-default,SC,39326,1,1.053012048,1.213888889
33,123400,95,736,N,1584,5000,179900,179900,0.3168,Default,default,NC,39000,0,0.685936631,0.685936631
34,185150,100,588,Y,1795,5000,102000,102000,0.359,Default,default,TX,41275,1,1.815196078,1.815196078
39,76000,70,723,N,1309,4641,188000,76000,0.282051,Default,default,CO,51022,0,0.404255319,1
37,124700,100,739,Y,1620,3051,122000,122000,0.530973,Active,non-default,FL,40171,1,1.022131148,1.022131148
35,147000,90,663,N,0,1863,49500,49500,0,Default,default,TX,41275,1,2.96969697,2.96969697
33,148500,90,631,N,5159,13214,340000,337000,0.390419,Default,default,AL,38111,0,0.436764706,0.440652819
47,111350,95,748,Y,3042,7087,224000,222961,0.429237,Active,non-default,LA,35523,0,0.497098214,0.499414696
40,283400,90,534,Y,1084,2687,137000,133590,0.403424,Default,default,GA,43217,1,2.068613139,2.121416274
23,310700,98,670,N,2545,5025,390000,390000,0.5065,Default,default,NY,44228,0,0.796666667,0.796666667
28,126500,100,729,N,2965,5457,152000,152000,0.543339,Active,non-default,WA,48688,0,0.832236842,0.832236842
37,86400,80,599,Y,1886,5000,177000,176200,0.3772,Default,default,GA,43217,0,0.488135593,0.490351873
30,33950,97,620,N,3829,8349,310000,305000,0.458618,Default,default,AZ,42590,0,0.109516129,0.111311475
37,87300,90,720,N,2325,9611,230000,220000,0.24191,Default,default,DC,43003,0,0.379565217,0.396818182
23,97000,100,689,N,3135,6989,280000,279075,0.448562,Pay-off,non-default,CA,49894,0,0.346428571,0.347576816
32,220800,95,724,N,757,2704,87000,87000,0.279956,Active,non-default,PA,44286,1,2.537931034,2.537931034
33,279000,100,615,Y,1212,1989,130000,130000,0.609351,Default,default,GA,43217,1,2.146153846,2.146153846
29,133200,80,652,N,1759,3241,142000,142000,0.542734,Default,default,GA,43217,0,0.938028169,0.938028169
19,82500,100,687,N,3068,7916,355000,352688,0.387569,Pay-off,non-default,CA,49894,0,0.232394366,0.233917797
30,154000,100,741,N,1276,4650,140000,139050,0.274409,Default,default,PA,44286,1,1.1,1.107515282
38,93000,100,647,Y,3131,4874,285000,285000,0.642388,Pay-off,non-default,CA,49894,0,0.326315789,0.326315789
34,476000,80,688,N,815,5025,85000,84900,0.162199,Active,non-default,FL,40171,1,5.6,5.606595995
